File,Line,Pattern,Match,Context
UIUtils.java,134,R_drawable_variable,R.drawable.dialog_border,alertDialogCreate.getWindow().setBackgroundDrawableResource(R.drawable.dialog_border);
UIUtils.java,161,R_drawable_variable,R.drawable.dialog_border,alertDialogCreate.getWindow().setBackgroundDrawableResource(R.drawable.dialog_border);
UIUtils.java,219,R_drawable_variable,R.drawable.object_border_dim_white,return R.drawable.object_border_dim_white;
UIUtils.java,452,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerBinding.containerAdventurer.setBackgroundResource(R.drawable.object_border_ascended);
UIUtils.java,453,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerBinding.weapon.setBackgroundResource(R.drawable.object_border_ascended);
UIUtils.java,454,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerBinding.armor.setBackgroundResource(R.drawable.object_border_ascended);
UIUtils.java,455,R_drawable_variable,R.drawable.object_border_ascended,layoutAdventurerBinding.accessory.setBackgroundResource(R.drawable.object_border_ascended);
UIUtils.java,456,R_drawable_variable,R.drawable.object_border_rounded_left_ascended,layoutAdventurerBinding.image.setBackgroundResource(R.drawable.object_border_rounded_left_ascended);
UIUtils.java,517,getDrawable,getDrawable(getContext(),"imageView.setImageDrawable(ResourcesCompat.getDrawable(getContext().getResources(), item.getIdImage(), getContext().getTheme()));"
UIUtils.java,551,getDrawable,getDrawable(getContext(),"imageView.setImageDrawable(ResourcesCompat.getDrawable(getContext().getResources(), Enemy.getInstance(enemyCounter.getEnemy()).getImageId(), getContex"
UIUtils.java,552,R_drawable_variable,R.drawable.object_border_dim_white,imageView.setBackgroundResource(R.drawable.object_border_dim_white);
UIUtils.java,597,getDrawable,getDrawable(context.getResources(),"layoutCraftNamedBinding.result.image.setImageDrawable(ResourcesCompat.getDrawable(context.getResources(), recipes.getResult().getIdImage(), context.ge"
UIUtils.java,606,getDrawable,getDrawable(context.getResources(),"layoutCraftNamedBinding.ingredient1.image.setImageDrawable(ResourcesCompat.getDrawable(context.getResources(), recipes.getIngredients().get(0).getIdIm"
UIUtils.java,619,getDrawable,getDrawable(context.getResources(),"layoutCraftNamedBinding.ingredient2.image.setImageDrawable(ResourcesCompat.getDrawable(context.getResources(), recipes.getIngredients().get(1).getIdIm"
UIUtils.java,636,getDrawable,getDrawable(context.getResources(),"layoutCraftNamedBinding.ingredient3.image.setImageDrawable(ResourcesCompat.getDrawable(context.getResources(), recipes.getIngredients().get(2).getIdIm"
UIUtils.java,784,getDrawable,getDrawable(getContext(),"imageView.setImageDrawable(ResourcesCompat.getDrawable(getContext().getResources(), MainActivity.data.getSeenEnemies().contains(enemy.getTrueClass()) "
UIUtils.java,784,R_drawable_variable,R.drawable.unknown,"imageView.setImageDrawable(ResourcesCompat.getDrawable(getContext().getResources(), MainActivity.data.getSeenEnemies().contains(enemy.getTrueClass()) "
UIUtils.java,901,getDrawable,getDrawable(context.getResources(),"imageView.setImageDrawable(ResourcesCompat.getDrawable(context.getResources(), doctrine.getIdImage(), context.getTheme()));"
UIUtils.java,1027,getDrawable,getDrawable(getContext(),"imageView.setImageDrawable(ResourcesCompat.getDrawable(getContext().getResources(), pet.getIdImage(), getContext().getTheme()));"
Utils.java,799,getDrawable,getDrawable(context.getResources(),"return ResourcesCompat.getDrawable(context.getResources(), equipment == null ? R.drawable.empty_equipment : equipment.getIdImage(), context.getTheme()"
Utils.java,799,R_drawable_variable,R.drawable.empty_equipment,"return ResourcesCompat.getDrawable(context.getResources(), equipment == null ? R.drawable.empty_equipment : equipment.getIdImage(), context.getTheme()"
AdventurersFragment.java,56,getDrawable,getDrawable(getResources(),"this.binding.imageArrow.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.menu_lift, getContext().getTheme()));"
AdventurersFragment.java,56,R_drawable_variable,R.drawable.menu_lift,"this.binding.imageArrow.setImageDrawable(ResourcesCompat.getDrawable(getResources(), R.drawable.menu_lift, getContext().getTheme()));"
AdventurersFragment.java,84,getDrawable,getDrawable(getResources(),"layoutAdventurerBindingInflate.image.setImageDrawable(ResourcesCompat.getDrawable(getResources(), next.getImageId(), getContext().getTheme()));"
