Screen,JavaClass,DrawableName,Source
activity_main,MainActivity.java,advertisement,XML
activity_main,MainActivity.java,bottom_nav_color_selector,XML
activity_main,MainActivity.java,brass_circle,XML
activity_main,MainActivity.java,gem,XML
activity_main,MainActivity.java,king_message,XML
activity_main,MainActivity.java,merchant,XML
activity_main,MainActivity.java,object_border_brass,XML
activity_main,MainActivity.java,object_border_dim_white,XML
activity_main,MainActivity.java,quest_marker,XML
activity_main,MainActivity.java,shop,XML
activity_main,MainActivity.java,tutorial_icon,XML
activity_main,MainActivity.java,vector_menu,XML
dialog_buy_from_merchant,DialogBuyFromMerchant.java,gem,XML
dialog_buy_from_merchant,DialogBuyFromMerchant.java,object_border_brass,XML
dialog_buy_from_merchant,DialogBuyFromMerchant.java,object_border_dim_white,XML
dialog_change_trait_rare,DialogChangeTraitRare.java,object_border_no_background,XML
dialog_change_trait_rare,DialogChangeTraitRare.java,object_empty_space_8dp,XML
dialog_choose_adventurer,DialogChooseAdventurer.java,object_border_no_background,XML
dialog_choose_adventurer,DialogChooseAdventurer.java,object_empty_space_8dp,XML
dialog_choose_pet,DialogChoosePet.java,object_border_no_background,XML
dialog_consume_evo23,DialogConsumeEvo23.java,object_border_ascended,Java
dialog_consume_evo23,DialogConsumeEvo23.java,object_border_no_background,XML
dialog_consume_evo23,DialogConsumeEvo23.java,object_border_rounded_left_ascended,Java
dialog_consume_evo23,DialogConsumeEvo23.java,object_empty_space_8dp,XML
dialog_consume_food,DialogConsumeFood.java,object_border_dim_white,XML
dialog_consume_food,DialogConsumeFood.java,object_border_no_background,XML
dialog_consume_food,DialogConsumeFood.java,object_empty_space_8dp,XML
dialog_consume_intercession,DialogConsumeIntercession.java,object_border_no_background,XML
dialog_consume_intercession,DialogConsumeIntercession.java,object_empty_space_8dp,XML
dialog_consume_potion,DialogConsumePotion.java,object_border_ascended,Java
dialog_consume_potion,DialogConsumePotion.java,object_border_dim_white,XML
dialog_consume_potion,DialogConsumePotion.java,object_border_no_background,XML
dialog_consume_potion,DialogConsumePotion.java,object_border_rounded_left_ascended,Java
dialog_consume_potion,DialogConsumePotion.java,object_border_rounded_right_ascended,Java
dialog_consume_potion,DialogConsumePotion.java,object_empty_space_8dp,XML
dialog_consume_potion_of_clumsiness,DialogConsumePotionOfClumsiness.java,object_border_ascended,Java
dialog_consume_potion_of_clumsiness,DialogConsumePotionOfClumsiness.java,object_border_no_background,XML
dialog_consume_potion_of_clumsiness,DialogConsumePotionOfClumsiness.java,object_border_rounded_left_ascended,Java
dialog_consume_potion_of_clumsiness,DialogConsumePotionOfClumsiness.java,object_empty_space_8dp,XML
dialog_consume_potion_of_rejuvenation,DialogConsumePotionOfRejuvenation.java,object_border_ascended,Java
dialog_consume_potion_of_rejuvenation,DialogConsumePotionOfRejuvenation.java,object_border_no_background,XML
dialog_consume_potion_of_rejuvenation,DialogConsumePotionOfRejuvenation.java,object_border_rounded_left_ascended,Java
dialog_consume_potion_of_rejuvenation,DialogConsumePotionOfRejuvenation.java,object_empty_space_8dp,XML
dialog_craft,DialogCraft.java,object_border_dim_white,XML
dialog_craft,DialogCraft.java,sign_minus,XML
dialog_craft,DialogCraft.java,sign_plus,XML
dialog_doctrine,DialogDoctrine.java,object_border_dim_white,XML
dialog_doctrine,DialogDoctrine.java,object_border_no_background,XML
dialog_doctrine,DialogDoctrine.java,sign_minus,XML
dialog_doctrine,DialogDoctrine.java,sign_plus,XML
dialog_doctrine_reset,DialogDoctrineReset.java,gem,XML
dialog_doctrine_reset,DialogDoctrineReset.java,object_border_brass,XML
dialog_dungeon_detail,DialogDungeonDetail.java,animated_icon_damaged,Java
dialog_dungeon_detail,DialogDungeonDetail.java,darkness_0,Java
dialog_dungeon_detail,DialogDungeonDetail.java,darkness_1,Java
dialog_dungeon_detail,DialogDungeonDetail.java,darkness_2,Java
dialog_dungeon_detail,DialogDungeonDetail.java,darkness_3,Java
dialog_dungeon_detail,DialogDungeonDetail.java,darkness_4,Java
dialog_dungeon_detail,DialogDungeonDetail.java,darkness_5,Java
dialog_dungeon_detail,DialogDungeonDetail.java,object_border_no_background,XML
