RecipeID,OutputItemID,ItemFound,SpriteKey,SpriteFound,RuntimeResult,RootCause
recipe_absolutezero,absolutezero,FALSE,absolutezero,NORMALIZED:absolute_zero,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_abyssalcompendium,abyssalcompendium,FALSE,abyssalcompendium,NORMALIZED:abyssal_compendium,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_abyssalcutlass,abyssalcutlass,FALSE,abyssalcutlass,NORMALIZED:abyssal_cutlass,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_abyssalgoo,abyssalgoo,FALSE,abyssalgoo,NORMALIZED:abyssal_goo,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_abyssalingot,abyssalingot,FALSE,abyssalingot,NORMALIZED:abyssal_ingot,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_aegismechanica,aegismechanica,FALSE,aegismechanica,NORMALIZED:aegis_mechanica,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_amuletofresurrection,amuletofresurrection,FALSE,amuletofresurrection,NORMALIZED:amulet_of_resurrection,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_amuletoftheswordsman,amuletoftheswordsman,FALSE,amuletoftheswordsman,NORMALIZED:amulet_of_the_swordsman,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_ancientarmor,ancientarmor,FALSE,ancientarmor,NORMALIZED:ancient_armor,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_ancientboots,ancientboots,FALSE,ancientboots,NORMALIZED:ancient_boots,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_ancientgloves,ancientgloves,FALSE,ancientgloves,NORMALIZED:ancient_gloves,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_ancientjacket,ancientjacket,FALSE,ancientjacket,NORMALIZED:ancient_jacket,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_ancientrobe,ancientrobe,FALSE,ancientrobe,NORMALIZED:ancient_robe,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animatedbow,animatedbow,FALSE,animatedbow,NORMALIZED:animated_bow,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animatedbuckler,animatedbuckler,FALSE,animatedbuckler,NORMALIZED:animated_buckler,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animatedcuirass,animatedcuirass,FALSE,animatedcuirass,NORMALIZED:animated_cuirass,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animateddagger,animateddagger,FALSE,animateddagger,NORMALIZED:animated_dagger,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animatedhelm,animatedhelm,FALSE,animatedhelm,NORMALIZED:animated_helm,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animatedingot,animatedingot,FALSE,animatedingot,NORMALIZED:animated_ingot,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animatedstaff,animatedstaff,FALSE,animatedstaff,NORMALIZED:animated_staff,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_animatedsword,animatedsword,FALSE,animatedsword,NORMALIZED:animated_sword,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_arcanedagger,arcanedagger,FALSE,arcanedagger,NORMALIZED:arcane_dagger,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_archaicamulet,archaicamulet,FALSE,archaicamulet,NORMALIZED:archaic_amulet,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_armorofthedryad,armorofthedryad,FALSE,armorofthedryad,NORMALIZED:armor_of_the_dryad,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_armoroftheundying,armoroftheundying,FALSE,armoroftheundying,NORMALIZED:armor_of_the_undying,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_ascendedbow,ascendedbow,FALSE,ascendedbow,NORMALIZED:ascended_bow,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
recipe_bansheebow,bansheebow,FALSE,bansheebow,NORMALIZED:banshee_bow,RESOLVED_VIA_FALLBACK,B_KEY_MISMATCH_FIXED_BY_NORMALIZED_FALLBACK
